CountryCode	County	RegionCode
107	Abbeville	1
404	Acadia	2
315	Accomack	2
1014	Ada	3
1145	Adair	3
389	Adams	2
102	Addison	3
911	Aiken	1
1016	Aitkin	3
224	Alachua	3
445	Alamance	3
156	Alameda	1
179	Albany	3
697	Albemarle	1
1192	Aleutians West (CA)	3
449	Alexander	4
662	Alexandria (city)	1
660	Alfalfa	2
821	Alger	2
1237	Allegan	3
1360	Allegany	3
254	Allegheny	3
550	Allen	3
217	Alpena	4
997	Alpine	2
1373	Amador	3
1264	Amarillo	3
781	Amelia	2
1039	Anchorage Municipality	3
117	Anderson	2
1146	Androscoggin	3
157	Anne Arundel	2
873	Anniston	3
1374	Annville	4
458	Anoka	2
1036	Anson	3
1276	Antrim	3
466	Appanoose	2
678	Appling	2
590	Arapahoe	3
650	Archer	1
1335	Arcola	3
878	Arenac	3
1301	Arkansas	1
527	Arlington	3
351	Armstrong	2
61	Aroostook	4
617	Ashe	1
140	Ashland	3
1308	Ashley	3
505	Ashtabula	4
1305	Asotin	1
920	Atascosa	3
485	Athens	1
726	Atlantic	2
1286	Atoka	4
193	Audrain	2
1133	Auglaize	2
360	Augusta	4
1217	Austin	2
1031	Autauga	2
1232	Avenel	3
1144	Baker	1
516	Baldwin	2
605	Ballard	3
405	Baltimore	3
487	Baltimore (city)	1
1149	Banks	2
1099	Bannock	2
1051	Baraga	2
1101	Barber	1
636	Barnstable	2
1326	Barnwell	4
22	Barron	2
981	Barry	3
546	Barton	3
973	Bastrop	2
1242	Bath	4
1069	Bay	2
798	Beadle	2
850	Bear Lake	1
321	Beaufort	1
446	Beauregard	3
631	Beaver	3
637	Beaverhead	1
1053	Beaverlett	4
1277	Becker	2
765	Bedford	3
686	Bee	2
1042	Belknap	3
517	Bell	3
1054	Belmont	3
1378	Benewah	3
1086	Bennington	3
842	Benson	1
797	Benton	2
1009	Bergen	3
1263	Berkeley	2
441	Berks	2
148	Berkshire	4
475	Bernalillo	2
1238	Berrien	2
602	Bethel (CA)	1
109	Bexar	2
609	Bibb	3
1132	Big Horn	1
450	Big Stone	3
253	Bingham	1
367	Birmingham	2
271	Black Hawk	4
20	Blackford	1
757	Blair	2
918	Blanco	2
939	Bland	4
507	Bloom City	2
355	Blount	2
232	Blue Earth	2
480	Bolivar	3
411	Bonita Springs	4
604	Bonner	2
233	Bonneville	4
26	Boone	1
436	Bosque	1
1002	Bossier	3
1085	Botetourt	2
783	Bottineau	4
412	Boulder	2
1173	Bourbon	3
243	Boyd	2
863	Boyle	2
1012	Boynton Beach	2
1240	Bracken	3
222	Bradford	4
1281	Bradley	4
787	Branch	4
890	Braxton	2
520	Brazoria	4
731	Brazos	2
700	Breathitt	2
473	Breckinridge	3
1155	Bremer	2
733	Brevard	1
707	Brewster	3
251	Brinkley	2
73	Bristol	2
1375	Bristow	2
808	Broad Run	2
494	Broadwater	3
1322	Brockton	2
442	Bronx	2
398	Brookings	2
317	Brooks	2
309	Broome	3
1380	Broomfield	3
89	Broward	3
46	Brown	4
1078	Bruin	1
1188	Brule	2
1038	Brunswick	3
226	Buchanan	2
72	Bucks	1
409	Buena Vista	3
578	Buffalo	4
722	Bullock	4
961	Buncombe	1
343	Bureau	2
848	Burke	2
200	Burleigh	4
844	Burleson	1
782	Burlington	3
983	Burnet	4
737	Burnett	4
1381	Burney	3
800	Burnwell	2
921	Burt	2
85	Butler	2
1032	Butte	3
709	Cabarrus	4
580	Cabell	2
926	Cache	1
177	Caddo	1
739	Calaveras	2
513	Calcasieu	2
790	Caldwell	3
795	Caledonia	4
347	Calhoun	2
1296	Callahan	4
291	Calloway	4
664	Calvert	3
744	Cambria	4
426	Camden	2
775	Cameron	1
1162	Camp	2
1325	Cannon	3
189	Cape Girardeau	2
1121	Cape May	3
555	Carbon	2
1371	Caribou	1
1165	Carlisle	3
400	Carlton	4
1214	Caroline	2
5	Carroll	3
1316	Carrsville	3
748	Carson	2
1093	Carson City (city)	3
345	Carter	3
383	Carteret	2
10	Carver	3
98	Casanova	3
506	Cass	4
1207	Cassia	3
1143	Castro	2
832	Caswell	2
1341	Catahoula	3
1175	Catawba	1
774	Cato	1
518	Cattaraugus	2
724	Cayuga	4
1204	Cecil	2
557	Cedar	4
423	Cedar Springs	3
128	Centre	4
714	Chaffee	1
1116	Chambers	1
4	Champaign	2
995	Chandler	3
1024	Chariton	3
1073	Charles	3
186	Charles Mix	3
786	Charleston	2
633	Charlotte	4
670	Chatham	2
716	Chattooga	1
51	Chautauqua	3
1282	Chaves	2
705	Cheboygan	2
676	Chemung	4
801	Chenango	3
354	Cherokee	2
1332	Cherry	2
661	Cheshire	3
94	Chester	2
813	Chesterfield	2
990	Cheyenne	2
958	Chickasaw	1
1203	Childress	1
804	Chilton	2
1241	Chippewa	3
768	Chisago	3
576	Chittenden	2
1349	Choctaw	2
950	Chouteau	3
195	Christian	4
230	Cibola	2
1199	Cimarron	4
196	Citrus	3
1141	Clackamas	3
223	Claiborne	2
827	Clarendon	4
603	Clarion	3
201	Clark	2
1028	Clarke	1
955	Clatsop	2
47	Clay	2
898	Clayton	2
333	Clearfield	4
95	Clearview	2
54	Clearwater	2
1243	Cleburne	2
1338	Clermont	4
340	Cleveland	3
974	Clinch	4
303	Clinton	3
579	Cloud	1
727	Coahoma	2
600	Coal	2
645	Cobb	2
803	Cochise	2
246	Cochran	3
653	Coffee	3
908	Coffey	2
1331	Cokedale	2
1268	Colbert	1
329	Cole	3
382	Coleman	1
390	Colfax	1
1336	Colleton	2
502	Collier	1
992	Collin	2
1272	Colorado Springs	2
58	Columbia	2
293	Columbiana	2
552	Columbus	3
684	Colusa	2
1004	Comal	2
438	Comanche	3
362	Concho	1
690	Concordia	3
826	Conecuh	2
402	Conejos	3
113	Contra Costa	3
1095	Conway	4
41	Cook	2
1151	Cooke	3
824	Cooper	3
281	Coos	3
539	Copeland	4
150	Copiah	2
1138	Corning	2
1063	Corson	3
1318	Coshocton	2
712	Costilla	2
1198	Cotesfield	4
817	Cottle	2
1208	Cotton	4
1358	Cottonwood	3
601	Cowley	2
508	Cowlitz	3
1076	Craighead	3
554	Craven	4
137	Crawford	4
2	Crenshaw	2
638	Crittenden	2
1105	Crosby	2
194	Cross	1
644	Crow Wing	4
1311	Crowley	4
1273	Cullman	2
1285	Culpeper	2
205	Cumberland	1
474	Cumming	2
1166	Currituck	4
294	Curry	1
204	Custer	2
30	Cuyahoga	2
849	Dacula	3
882	Dade	2
648	Dakota	2
27	Dallas	2
945	Dames Quarter	2
82	Dane	1
1354	Danville (city)	2
1113	Dare	2
45	Dauphin	2
284	Davidson	4
280	Daviess	4
587	Davis	2
282	Dawson	3
675	De Soto	4
374	Deaf Smith	2
619	Dearborn	2
934	Decatur	2
124	DeKalb	2
337	Delaware	3
306	Delta	4
812	Denton	2
132	Denver	3
1135	Des Moines	2
725	Deschutes	3
270	Detour	4
252	Dewey	3
1163	Dickey	3
833	Dickinson	2
221	Dickson	4
335	Dillon	3
323	Dinwiddie	4
18	District of Columbia	4
1021	Dixie	2
1092	Dixon	2
1035	Doddridge	3
99	Dodge	4
191	Doña Ana	3
110	Doniphan	1
105	Donley	2
1202	Dooly	4
839	Dorchester	1
1299	Dougherty	1
528	Douglas	2
1140	Drew	2
893	Dubois	2
978	Dubuque	2
1058	Duchesne	3
982	Dukes	2
1379	Dumfries	3
643	Dundy	3
654	Dunn	2
771	DuPage	1
1158	Duplin	2
371	Dutchess	3
917	Duval	2
1205	Dyer	2
960	Eagle	3
679	East Baton Rouge	1
432	Eaton	4
272	Eau Claire	4
988	Ector	3
591	Eddy	3
967	Edgecombe	3
100	El Dorado	4
377	El Paso	1
639	Elk	2
304	Elkhart	2
585	Ellis	1
900	Ellsworth	1
456	Elmore	3
1102	Emanuel	4
924	Emmet	3
1008	Emmons	3
92	Erie	2
531	Escambia	1
388	Essex	3
358	Etowah	3
1370	Evan	3
29	Fairfax	4
1119	Fairfax (city)	4
536	Fairfield	2
1303	Falls	3
1184	Fannin	3
1087	Faribault	1
1369	Farrandsville	1
514	Faulkner	1
858	Fauquier	2
176	Fayette	2
1088	Fergus	4
738	Ferry	2
778	Fillmore	2
693	Fisher	4
469	Flagler	2
796	Fleming	3
1181	Florence	1
199	Floyd	2
1195	Fluvanna	2
776	Fond du Lac	3
706	Ford	2
599	Forest	3
443	Forrest	2
784	Forsyth	2
239	Fort Bend	1
308	Foster	2
3	Franklin	2
896	Frederick	4
295	Fremont	3
23	Fresno	2
419	Ft Devens	1
835	Fuget	4
17	Fulton	1
980	Furnas	3
341	Gadsden	3
902	Gage	3
745	Gaines	1
991	Gainesville	3
1026	Gallatin	3
846	Gallia	2
538	Galveston	2
153	Garfield	1
268	Garland	2
1117	Garrard	2
332	Garza	2
1170	Gasconade	4
755	Gates	1
1295	Geauga	4
853	Gem	4
486	Genesee	2
756	Geneva	2
328	Gentry	4
871	Georgetown	2
815	Gibson	2
314	Gila	2
52	Giles	2
1280	Gillespie	2
1230	Gilmer	2
125	Glasscock	2
135	Glendon	2
914	Gloucester	2
481	Glynn	3
1310	Gonzales	2
1098	Goochland	4
683	Goodhue	4
829	Gooding	3
1193	Gordon	1
984	Gove	3
242	Grady	3
658	Grafton	2
1235	Graham	4
228	Grand Forks	3
799	Grand Isle	2
231	Grand Traverse	1
79	Grant	3
857	Granville	1
910	Gratiot	4
1225	Gray	1
139	Grays Harbor	3
493	Grayson	2
629	Green	2
385	Greenbrier	3
227	Greene	4
533	Greenville	2
435	Greenwood	3
274	Grenada	4
1034	Grimes	1
959	Groveport	2
460	Grundy	3
1129	Guadalupe	4
1228	Guernsey	2
1006	Guilford	1
1003	Gulf	2
1060	Gulfport	2
66	Gunnison	1
380	Guthrie	2
777	Gwinnett	2
818	Habersham	2
912	Hale	2
447	Halifax	2
866	Hall	4
410	Hamilton	4
158	Hampden	2
598	Hampshire	3
248	Hancock	3
998	Hansford	2
1178	Hardeman	2
212	Hardin	3
1048	Harding	2
909	Hardy	3
729	Harford	3
571	Harlan	2
770	Harney	2
163	Harris	3
364	Harrison	4
121	Hart	2
310	Hartford	3
1377	Hartley	2
104	Harvey	1
15	Haskell	4
840	Hattiesburg	2
279	Hawaii	4
219	Hawkins	1
1059	Hayes	3
963	Hays	1
1037	Haywood	3
943	Helmer	1
257	Hempstead	2
594	Henderson	2
501	Hennepin	2
979	Henrico	3
131	Henry	3
994	Herndon	1
1077	Hesperia	4
522	Hettinger	2
369	Hidalgo	1
567	Highland	4
562	Highlands	2
463	Hill	3
24	Hillsborough	4
289	Hillsdale	2
142	Hinds	1
1352	Hitchcock	1
721	Hocking	4
1136	Hockley	4
688	Hollybush	4
1064	Holmes	2
811	Holt	2
430	Honolulu	2
1245	Hopkins	2
1134	Horry	3
962	Houghton	2
935	Houston	3
70	Howard	3
1312	Howell	2
1164	Hubbard	3
