CustomerID,CountryCode,City,State,Zip
526540,1,Rochester,NY,14624
859327,2,Luverne,AL,36049
887387,3,Hodges,AL,35571
779497,4,Savoy,IL,61874
896517,5,Stet,MO,64680
220965,6,Lyons,GA,30436
721091,7,Kalida,OH,45853
633636,8,Hamilton,PA,15744
823898,9,Panama,IA,51562
413865,10,Young America,MN,55558
439483,11,Bear Creek,WI,54922
809408,12,Harleysville,PA,19441
748190,13,Reddick,IL,60961
397283,14,Kreamer,PA,17833
553684,15,Sublette,KS,67877
495667,16,Mesa,AZ,85207
936158,8,Brockway,PA,15824
537591,17,Atlanta,GA,30371
909018,18,Washington,DC,20242
878666,19,Lake Itasca,MN,56460
995710,20,Montpelier,IN,47359
511059,21,Jeddo,MI,48032
754455,22,Dallas,WI,54733
489275,23,Reedley,CA,93654
500905,24,Brandon,FL,33511
984409,25,Hallsville,OH,45633
812053,26,Belvidere,IL,61008
550206,27,Dallas,TX,75363
728053,28,Berwick,IL,61417
184257,29,Vienna,VA,22184
235295,30,Lakewood,OH,44107
767674,31,Crockett,VA,24323
391837,32,Genesee Depot,WI,53127
466560,33,Shasta Lake,CA,96019
900756,34,Lookout Mountain,GA,30750
678628,3,Sesser,IL,62884
492527,35,Sterling Heights,MI,48312
886060,36,Hood,VA,22723
366431,37,Oktaha,OK,74450
331297,38,Briar,MO,63931
496541,39,Orefield,PA,18069
654617,40,Wells,KS,67488
163409,41,Bartlett,IL,60103
299088,42,Eldersville,PA,15036
961442,7,Reelsville,IN,46171
155097,43,Perry Park,KY,40363
976422,44,Ventura,CA,93003
138911,45,Hershey,PA,17033
160938,46,Aberdeen,SD,57401
399707,47,Hawley,MN,56549
713294,48,Redondo,WA,98054
627298,49,Godeffroy,NY,12739
709884,50,Donnybrook,ND,58734
932773,51,Portland,NY,14769
796605,52,Ripplemead,VA,24150
885395,53,San Diego,CA,92126
411503,29,Annandale,VA,22003
622405,27,Dallas,TX,75224
233136,54,Orofino,ID,83544
170637,55,Mobile,AL,36685
215719,56,Lowell,FL,32663
452163,57,Canton,OH,44750
572204,58,Niverville,NY,12130
779517,59,Davenport,FL,33836
844157,60,Mount Eaton,OH,44659
312726,30,Cleveland,OH,44178
419549,61,Fort Fairfield,ME,4742
505927,62,Little Rock,AR,72231
526254,17,Union City,GA,30291
460226,63,Clemson,SC,29631
840113,64,Lee,ME,4455
432820,65,Torbert,LA,70781
957596,66,Powderhorn,CO,81243
530134,67,Garvin,OK,74736
316372,62,Laquey,MO,65534
501658,68,Goehner,NE,68364
147133,69,Dearing,GA,30808
551149,53,San Diego,CA,92175
595558,70,Coahoma,TX,79511
637407,71,Saint Petersburg,FL,33734
597741,72,Springtown,PA,18081
403534,73,Attleboro Falls,MA,2763
314661,74,Silver Creek,MN,55380
317987,75,Bassett,WI,53101
820109,42,Washington,PA,15301
388558,76,Custer,MT,59024
403207,77,White Plains,NC,27031
143711,78,Walkerton,IN,46574
402180,18,Washington,DC,20380
242388,79,Fairmount,IN,46928
819367,80,Velpen,IN,47590
962291,81,Toledo,IA,52342
856379,82,Madison,WI,53718
149972,83,Eldorado,IL,62930
174955,3,Saranac Lake,NY,12983
549389,84,Pearl,MS,39288
466832,83,Salina,KS,67402
203380,85,Welchs Creek,KY,42287
915991,86,Mine Run,VA,22568
289172,87,Salem,OR,97317
914365,88,Holmes Beach,FL,34218
971242,89,Hollywood,FL,33025
503248,90,Annville,PA,17003
521540,91,Sturgis,MS,39769
790395,17,Athens,IN,46912
734861,3,Greencastle,PA,17225
592815,36,Winterset,IA,50273
556008,92,Buffalo,NY,14272
888597,93,Bostwick,GA,30623
946550,49,Brea,CA,92821
438869,94,Chester Springs,PA,19425
685600,95,Clearview,OK,74835
