Order Id,Transaction_Complete_Date
1,1/10/2015 0:00
2,1/10/2015 0:21
4,1/10/2015 1:03
5,1/10/2015 1:24
7,1/6/2015 2:06
8,1/10/2015 2:27
9,1/10/2015 2:48
10,1/10/2015 3:09
11,1/10/2015 3:30
12,1/10/2015 3:51
13,1/10/2015 4:12
14,1/10/2015 4:33
15,1/10/2015 4:54
16,1/10/2015 5:15
17,1/10/2015 5:36
18,1/10/2015 5:57
19,1/10/2015 6:18
20,1/10/2015 6:39
21,1/4/2015 7:00
23,1/6/2015 7:42
24,1/6/2015 8:03
25,1/6/2015 8:24
27,1/6/2015 9:06
28,1/10/2015 9:27
29,1/10/2015 9:48
30,1/10/2015 10:09
31,1/10/2015 10:30
33,1/4/2015 11:12
34,1/4/2015 11:33
35,1/6/2015 11:54
36,1/6/2015 12:15
37,1/6/2015 12:36
38,1/6/2015 12:57
39,1/6/2015 13:18
41,1/4/2015 14:00
42,1/4/2015 14:21
43,1/4/2015 14:42
44,1/10/2015 15:03
45,1/10/2015 15:24
46,1/10/2015 15:45
48,1/10/2015 16:27
49,1/10/2015 16:49
50,1/10/2015 17:10
51,1/10/2015 17:31
52,1/10/2015 17:52
56,1/10/2015 19:16
57,1/10/2015 19:37
58,1/10/2015 19:58
59,1/10/2015 20:19
61,1/6/2015 21:01
62,1/10/2015 21:22
63,1/10/2015 21:43
64,1/4/2015 22:04
65,1/4/2015 22:25
66,1/10/2015 22:46
67,1/10/2015 23:07
68,1/10/2015 23:28
69,1/10/2015 23:49
70,1/11/2015 0:10
71,1/11/2015 0:31
72,1/11/2015 0:52
73,1/11/2015 1:13
74,1/11/2015 1:34
75,1/11/2015 1:55
77,1/11/2015 2:37
81,1/11/2015 4:01
83,1/11/2015 4:43
84,1/7/2015 5:04
87,1/11/2015 6:07
88,1/11/2015 6:28
91,1/5/2015 7:31
92,1/7/2015 7:52
93,1/7/2015 8:13
94,1/11/2015 8:34
95,1/5/2015 8:55
96,1/7/2015 9:16
97,1/7/2015 9:37
98,1/11/2015 9:59
99,1/7/2015 10:20
100,1/7/2015 10:41
101,1/7/2015 11:02
103,1/11/2015 11:44
104,1/11/2015 12:05
105,1/11/2015 12:26
106,1/11/2015 12:47
107,1/11/2015 13:08
110,1/11/2015 14:11
111,1/11/2015 14:32
112,1/11/2015 14:53
113,1/11/2015 15:14
114,1/3/2015 15:35
115,1/11/2015 15:56
116,1/11/2015 16:17
117,1/11/2015 16:38
118,1/11/2015 16:59
119,1/11/2015 17:20
120,1/5/2015 17:41
121,1/11/2015 18:02
122,1/11/2015 18:23
123,1/11/2015 18:44
124,1/11/2015 19:05
127,1/11/2015 20:08
129,1/11/2015 20:50
130,1/11/2015 21:11
131,1/11/2015 21:32
132,1/11/2015 21:53
133,1/7/2015 22:14
134,1/11/2015 22:35
135,1/11/2015 22:56
136,1/11/2015 23:17
137,1/11/2015 23:38
139,1/12/2015 0:20
140,1/12/2015 0:41
141,1/12/2015 1:02
142,1/8/2015 1:23
143,1/12/2015 1:44
145,1/12/2015 2:26
146,1/12/2015 2:48
147,1/12/2015 3:09
148,1/12/2015 3:30
149,1/4/2015 3:51
150,1/12/2015 4:12
151,1/8/2015 4:33
152,1/8/2015 4:54
154,1/8/2015 5:36
155,1/8/2015 5:57
156,1/6/2015 6:18
157,1/6/2015 6:39
158,1/6/2015 7:00
159,1/8/2015 7:21
160,1/12/2015 7:42
161,1/12/2015 8:03
162,1/12/2015 8:24
163,1/12/2015 8:45
164,1/12/2015 9:06
165,1/12/2015 9:27
166,1/12/2015 9:48
167,1/8/2015 10:09
168,1/8/2015 10:30
170,1/8/2015 11:12
171,1/8/2015 11:33
172,1/12/2015 11:54
173,1/8/2015 12:15
174,1/8/2015 12:36
175,1/6/2015 12:57
177,1/12/2015 13:39
178,1/12/2015 14:00
179,1/12/2015 14:21
180,1/12/2015 14:42
181,1/12/2015 15:03
182,1/12/2015 15:24
184,1/12/2015 16:06
185,1/12/2015 16:27
186,1/12/2015 16:48
188,1/12/2015 17:30
189,1/12/2015 17:51
190,1/12/2015 18:12
191,1/8/2015 18:33
192,1/4/2015 18:54
193,1/4/2015 19:15
194,1/4/2015 19:36
195,1/8/2015 19:58
196,1/12/2015 20:19
197,1/12/2015 20:40
198,1/12/2015 21:01
200,1/12/2015 21:43
201,1/12/2015 22:04
202,1/12/2015 22:25
204,1/12/2015 23:07
205,1/12/2015 23:28
206,1/12/2015 23:49
207,1/13/2015 0:10
208,1/13/2015 0:31
209,1/13/2015 0:52
211,1/9/2015 1:34
212,1/13/2015 1:55
213,1/13/2015 2:16
214,1/13/2015 2:37
215,1/13/2015 2:58
216,1/13/2015 3:19
219,1/13/2015 4:22
220,1/13/2015 4:43
221,1/13/2015 5:04
222,1/7/2015 5:25
223,1/7/2015 5:46
224,1/7/2015 6:07
225,1/7/2015 6:28
226,1/7/2015 6:49
227,1/7/2015 7:10
228,1/7/2015 7:31
229,1/13/2015 7:52
230,1/13/2015 8:13
231,1/13/2015 8:34
232,1/13/2015 8:55
234,1/13/2015 9:37
235,1/13/2015 9:58
236,1/13/2015 10:19
237,1/13/2015 10:40
238,1/13/2015 11:01
239,1/13/2015 11:22
240,1/5/2015 11:43
241,1/13/2015 12:04
242,1/13/2015 12:25
243,1/13/2015 12:47
244,1/13/2015 13:08
245,1/7/2015 13:29
246,1/9/2015 13:50
247,1/9/2015 14:11
248,1/13/2015 14:32
249,1/9/2015 14:53
250,1/13/2015 15:14
251,1/13/2015 15:35
252,1/13/2015 15:56
253,1/13/2015 16:17
254,1/13/2015 16:38
255,1/9/2015 16:59
256,1/13/2015 17:20
257,1/9/2015 17:41
259,1/9/2015 18:23
260,1/13/2015 18:44
262,1/13/2015 19:26
263,1/13/2015 19:47
264,1/13/2015 20:08
265,1/7/2015 20:29
266,1/7/2015 20:50
267,1/7/2015 21:11
268,1/7/2015 21:32
269,1/13/2015 21:53
271,1/13/2015 22:35
272,1/13/2015 22:56
273,1/13/2015 23:17
274,1/5/2015 23:38
275,1/5/2015 23:59
277,1/6/2015 0:41
278,1/14/2015 1:02
279,1/14/2015 1:23
280,1/14/2015 1:44
281,1/14/2015 2:05
282,1/14/2015 2:26
283,1/10/2015 2:47
284,1/10/2015 3:08
285,1/14/2015 3:29
286,1/14/2015 3:50
287,1/10/2015 4:11
288,1/10/2015 4:32
289,1/14/2015 4:53
290,1/14/2015 5:14
292,1/14/2015 5:57
293,1/14/2015 6:18
294,1/14/2015 6:39
295,1/14/2015 7:00
296,1/8/2015 7:21
297,1/14/2015 7:42
299,1/14/2015 8:24
300,1/14/2015 8:45
301,1/14/2015 9:06
302,1/14/2015 9:27
303,1/14/2015 9:48
304,1/10/2015 10:09
305,1/10/2015 10:30
306,1/10/2015 10:51
307,1/10/2015 11:12
308,1/8/2015 11:33
311,1/10/2015 12:36
312,1/10/2015 12:57
313,1/10/2015 13:18
314,1/10/2015 13:39
315,1/14/2015 14:00
316,1/10/2015 14:21
318,1/8/2015 15:03
319,1/8/2015 15:24
320,1/14/2015 15:45
321,1/10/2015 16:06
323,1/10/2015 16:48
324,1/14/2015 17:09
325,1/14/2015 17:30
326,1/14/2015 17:51
327,1/14/2015 18:12
328,1/14/2015 18:33
330,1/6/2015 19:15
332,1/8/2015 19:57
